DATE_TIME,AC_POWER,DC_POWER
2020-05-15,281.8991603902216,2879.8562655433675
2020-05-16,293.8778807796024,3002.1393577453105
2020-05-17,312.96183204783614,3200.565600194744
2020-05-18,222.99702127311505,2278.668814254924
2020-05-19,267.4625583268417,2732.640628746392
2020-05-20,314.0457938884043,3215.0632596869136
2020-05-21,484.46085482791665,4956.921158773319
2020-05-22,309.5809210920232,3166.017998627707
2020-05-23,380.9419243993407,3896.9444239727577
2020-05-24,331.35313007284657,3390.319078053461
2020-05-25,374.5515346174102,3834.449084009233
2020-05-26,332.76243708534076,3403.815119968726
2020-05-27,285.4326782238401,2916.9235397521443
2020-05-28,370.26235136925806,3788.58341870952
2020-05-29,478.5977366602617,4896.060546520335
2020-05-30,301.15681564388825,3078.7466348776184
2020-05-31,249.73370133051708,2553.9185660072176
2020-06-01,241.33120264978788,2466.919523359967
2020-06-02,310.66454541812976,3176.1546364767623
2020-06-03,314.4739266406108,3215.182076346132
2020-06-04,348.81831807760136,3567.7541219780264
2020-06-05,324.3144980561957,3316.573958372721
2020-06-06,273.06653265259115,2792.8550195045905
2020-06-07,318.24786678129215,3255.892121532325
2020-06-08,345.68535262968135,3536.98629881286
2020-06-09,334.86623291839066,3425.1936046165815
2020-06-10,267.9628272128182,2738.6550764385133
2020-06-11,233.98430989615957,2389.052353897898
2020-06-12,242.0879236008551,2472.7054501481393
2020-06-13,351.34121854575045,3595.538005604408
2020-06-14,294.27523420606815,3006.8629684261837
2020-06-15,280.5321327125076,2867.204503194039
2020-06-16,258.289147145001,2638.494916609626
2020-06-17,251.63613947300095,2571.4602618296467
